subj_id,RT,sentID,measure
R_pGZjTA8wFerMwcV,9.863,9,Timing_1
R_ypTZBjEyvsMpFG9,5.313,9,Timing_1
R_2YkUceTXXRwe7af,3.245,9,Timing_1
R_3D2u0Wq74kM9j2C,3.612,9,Timing_1
R_2Pv6m5XVNiv6pPQ,5.979,9,Timing_1
R_T1l2TIrq1do7Orn,5.418,9,Timing_1
R_9KphKBeCPmqzBCl,82.728,9,Timing_1
R_3qKjZplc0t8Y2IU,1.356,9,Timing_1
R_4GA7uQFTqbGKnlf,0.934,9,Timing_1
R_1hEVfCsYXJCzsVp,8.055,9,Timing_1
R_cHiCbzLrQrYeizP,5.124,9,Timing_1
R_3fQa4YiudlrrSLd,6.777,9,Timing_1
R_z0gtYvawsJg834J,2.448,9,Timing_1
R_2SvKoXHDxtivA4o,5.959,9,Timing_1
R_CeG821dsnmsmiZP,1.541,9,Timing_1
R_3MG93Py9LV1lYqI,2.479,9,Timing_1
R_UrtVng9RxUYqodr,6.225,9,Timing_1
R_yjxZCpumE2JuLwR,4.446,9,Timing_1
R_eOEX0Ye1lmhGlyl,6.107,9,Timing_1
R_cCLhtJmTS5XidYl,5.244,9,Timing_1
R_vZ75WKEQFz64rIt,3.714,9,Timing_1
R_1Nzi2lWnM0CO3kn,8.616,9,Timing_1
R_2tu71tqKKoKbfJ0,3.509,9,Timing_1
R_2PdQi8meHWRd7Fb,5.975,9,Timing_1
R_3PaHNs19NCzMVbu,3.516,9,Timing_1
R_CjK7Ok90OSXQ3XH,4.196,9,Timing_1
R_1lgEwIKXFHGT01V,12.128,9,Timing_1
R_2qq1JLwmdrdJM9d,6.403,9,Timing_1
R_ZrTEV9TpypUZEC5,3723.697,9,Timing_1
R_3Gq55dSXHC6ANc8,5.712,9,Timing_1
R_3D8b4ozl4q217Ie,5,9,Timing_1
R_qV03fIB34drHELn,29.692,9,Timing_1
R_1mRh44rpwMf0PbH,5.535,9,Timing_1
R_3gNkgaxQ9C21dQW,2.758,9,Timing_1
R_21umvRGJCCZXoit,7.583,9,Timing_1
R_BKctGx9a1Hi7w4h,1.16,10,Timing_1
R_u2ffULg0uVmoetj,3.279,10,Timing_1
R_2vf9l3GOwanVBOH,6.212,10,Timing_1
R_OqjAwL4brYESqul,9.445,10,Timing_1
R_1LG8FwYsk4Xgq61,1.98,10,Timing_1
R_2wQZuV97sKRkDfp,1.351,10,Timing_1
R_2dsf9d9zlzEbaRw,2.911,10,Timing_1
R_3j0ZzVXSe6NB0v0,2.652,10,Timing_1
