subj_id,qual_col,RT,measure,row,sentID
R_2alPe2ZkILnzWYp,Timing_1(6),4.68,Timing_1,6,148
R_24zMzQY1U9LX5Gf,Timing_1(6),3.443,Timing_1,6,148
R_2zAp7MZjWbJtouD,Timing_1(6),15.611,Timing_1,6,148
R_1lgea30X5yRbWgb,Timing_1(6),7.069,Timing_1,6,148
R_1dg0dAPlymYfFcu,Timing_1(6),3.556,Timing_1,6,148
R_23TSscPxb3G1aSA,Timing_1(6),27.178,Timing_1,6,148
R_3effdDALVVpFhkK,Timing_1(6),6.825,Timing_1,6,148
R_2PpvbvcItA8LcqM,Timing_1(6),8.138,Timing_1,6,148
R_25WvorTEPc7DuHX,Timing_1(6),4.799,Timing_1,6,148
R_ZJCIt5D6m80Wim5,Timing_1(6),4.685,Timing_1,6,148
R_6gQpeEEoAOw1CNz,Timing_1(6),4.364,Timing_1,6,148
R_UcJP3naTdDXJEDn,Timing_1(6),8.496,Timing_1,6,148
R_21pKbw8vqrjpJ4Q,Timing_1(6),8.101,Timing_1,6,148
R_1HiWKvIl546M44z,Timing_1(6),8.273,Timing_1,6,148
R_BFIiDPrnKiKOhkB,Timing_1(6),4.205,Timing_1,6,148
R_232AZeZQOdbRSAK,Timing_1(6),4.596,Timing_1,6,148
R_1odMwWpdALe3A7c,Timing_1(6),9.059,Timing_1,6,148
R_3CMZ1prTdwstnIi,Timing_1(6),3.983,Timing_1,6,148
R_2SDkvNUYWKzQ9b4,Timing_1(6),13.642,Timing_1,6,148
R_2qwqWlqovi1EnxK,Timing_1(6),15.428,Timing_1,6,148
R_1nSW9rReHHlwpSQ,Timing_1(6),7.36,Timing_1,6,148
R_3FPt6NNv7fs4bHV,Timing_1(6),4.144,Timing_1,6,148
R_2uOs8d5Okoyss7z,Timing_1(6),7.125,Timing_1,6,148
R_1JEdl2aEMuUO63f,Timing_1(6),9.171,Timing_1,6,148
R_6L3ln2BoQAzJw2d,Timing_1(6),2.54,Timing_1,6,148
R_xAA7goWcKMvmb1D,Timing_1(6),4.993,Timing_1,6,148
R_248iCMeSwyLS8sF,Timing_1(6),10.383,Timing_1,6,148
R_OING4tGkg3q8VLb,Timing_1(6),10.201,Timing_1,6,148
R_3kvbwPackXPANmo,Timing_1(6),3.476,Timing_1,6,148
R_3lRiG6M8Z6vKWZh,Timing_1(6),5.665,Timing_1,6,148
R_3q9cZ9NJjEx872v,Timing_1(6),5.016,Timing_1,6,148
R_ABt8n7PxUqkXqy5,Timing_1(6),8.766,Timing_1,6,148
R_3k6rPDoCD4kup7x,Timing_1(6),4.963,Timing_1,6,148
R_p6iBXJstulO97Jn,Timing_1(6),5.388,Timing_1,6,148
R_USFewLQTXHp0kPT,Timing_1(6),1.091,Timing_1,6,148
R_vrAH2qrxu41QSv7,Timing_1(7),7.373,Timing_1,7,149
R_6Pg4ql6MQumxZo9,Timing_1(7),1.365,Timing_1,7,149
R_1QaBlAsk46HI9NJ,Timing_1(7),11.03,Timing_1,7,149
R_pKtuHvEeh5mujgl,Timing_1(7),5.09,Timing_1,7,149
R_RrYmeJDnKB3hv7r,Timing_1(7),15.897,Timing_1,7,149
R_2alPe2ZkILnzWYp,Timing_1(7),12.191,Timing_1,7,149
R_24zMzQY1U9LX5Gf,Timing_1(7),5.15,Timing_1,7,149
R_2zAp7MZjWbJtouD,Timing_1(7),51.061,Timing_1,7,149
R_1lgea30X5yRbWgb,Timing_1(7),26.046,Timing_1,7,149
R_1dg0dAPlymYfFcu,Timing_1(7),6.029,Timing_1,7,149
R_23TSscPxb3G1aSA,Timing_1(7),6.143,Timing_1,7,149
R_3effdDALVVpFhkK,Timing_1(7),12.594,Timing_1,7,149
R_2PpvbvcItA8LcqM,Timing_1(7),10.269,Timing_1,7,149
R_25WvorTEPc7DuHX,Timing_1(7),8.948,Timing_1,7,149
R_ZJCIt5D6m80Wim5,Timing_1(7),15.365,Timing_1,7,149
R_6gQpeEEoAOw1CNz,Timing_1(7),10.849,Timing_1,7,149
R_UcJP3naTdDXJEDn,Timing_1(7),37.761,Timing_1,7,149
R_21pKbw8vqrjpJ4Q,Timing_1(7),14.553,Timing_1,7,149
R_1HiWKvIl546M44z,Timing_1(7),53.948,Timing_1,7,149
R_BFIiDPrnKiKOhkB,Timing_1(7),2.819,Timing_1,7,149
R_232AZeZQOdbRSAK,Timing_1(7),28.362,Timing_1,7,149
R_1odMwWpdALe3A7c,Timing_1(7),4.306,Timing_1,7,149
R_3CMZ1prTdwstnIi,Timing_1(7),3.63,Timing_1,7,149
R_2SDkvNUYWKzQ9b4,Timing_1(7),4.119,Timing_1,7,149
R_2qwqWlqovi1EnxK,Timing_1(7),14.037,Timing_1,7,149
R_1nSW9rReHHlwpSQ,Timing_1(7),15.997,Timing_1,7,149
R_3FPt6NNv7fs4bHV,Timing_1(7),5.843,Timing_1,7,149
