subj_id,qual_col,NatNess,measure,row,sentID
R_p6iBXJstulO97Jn,Natural(7),5.0,Natural,7,149
R_USFewLQTXHp0kPT,Natural(7),4.0,Natural,7,149
R_vrAH2qrxu41QSv7,Natural(8),5.0,Natural,8,150
R_6Pg4ql6MQumxZo9,Natural(8),5.0,Natural,8,150
R_1QaBlAsk46HI9NJ,Natural(8),5.0,Natural,8,150
R_pKtuHvEeh5mujgl,Natural(8),5.0,Natural,8,150
R_RrYmeJDnKB3hv7r,Natural(8),5.0,Natural,8,150
R_2alPe2ZkILnzWYp,Natural(8),5.0,Natural,8,150
R_24zMzQY1U9LX5Gf,Natural(8),5.0,Natural,8,150
R_2zAp7MZjWbJtouD,Natural(8),5.0,Natural,8,150
R_1lgea30X5yRbWgb,Natural(8),5.0,Natural,8,150
R_1dg0dAPlymYfFcu,Natural(8),5.0,Natural,8,150
R_23TSscPxb3G1aSA,Natural(8),5.0,Natural,8,150
R_3effdDALVVpFhkK,Natural(8),5.0,Natural,8,150
R_2PpvbvcItA8LcqM,Natural(8),5.0,Natural,8,150
R_25WvorTEPc7DuHX,Natural(8),5.0,Natural,8,150
R_ZJCIt5D6m80Wim5,Natural(8),5.0,Natural,8,150
R_6gQpeEEoAOw1CNz,Natural(8),5.0,Natural,8,150
R_UcJP3naTdDXJEDn,Natural(8),5.0,Natural,8,150
R_21pKbw8vqrjpJ4Q,Natural(8),5.0,Natural,8,150
R_1HiWKvIl546M44z,Natural(8),3.0,Natural,8,150
R_BFIiDPrnKiKOhkB,Natural(8),5.0,Natural,8,150
R_232AZeZQOdbRSAK,Natural(8),5.0,Natural,8,150
R_1odMwWpdALe3A7c,Natural(8),5.0,Natural,8,150
R_3CMZ1prTdwstnIi,Natural(8),5.0,Natural,8,150
R_2SDkvNUYWKzQ9b4,Natural(8),5.0,Natural,8,150
R_2qwqWlqovi1EnxK,Natural(8),2.0,Natural,8,150
R_1nSW9rReHHlwpSQ,Natural(8),5.0,Natural,8,150
R_3FPt6NNv7fs4bHV,Natural(8),4.0,Natural,8,150
R_2uOs8d5Okoyss7z,Natural(8),4.0,Natural,8,150
R_1JEdl2aEMuUO63f,Natural(8),5.0,Natural,8,150
R_6L3ln2BoQAzJw2d,Natural(8),5.0,Natural,8,150
R_xAA7goWcKMvmb1D,Natural(8),3.0,Natural,8,150
R_248iCMeSwyLS8sF,Natural(8),4.0,Natural,8,150
R_OING4tGkg3q8VLb,Natural(8),5.0,Natural,8,150
R_3kvbwPackXPANmo,Natural(8),5.0,Natural,8,150
R_3lRiG6M8Z6vKWZh,Natural(8),5.0,Natural,8,150
R_3q9cZ9NJjEx872v,Natural(8),3.0,Natural,8,150
R_ABt8n7PxUqkXqy5,Natural(8),5.0,Natural,8,150
R_3k6rPDoCD4kup7x,Natural(8),5.0,Natural,8,150
R_p6iBXJstulO97Jn,Natural(8),5.0,Natural,8,150
R_USFewLQTXHp0kPT,Natural(8),5.0,Natural,8,150
R_vrAH2qrxu41QSv7,Natural(9),5.0,Natural,9,151
R_6Pg4ql6MQumxZo9,Natural(9),5.0,Natural,9,151
R_1QaBlAsk46HI9NJ,Natural(9),5.0,Natural,9,151
