sentID,SentenceContext,comp.det,comp.noun,sentenceClosure,compLower,popularity,nComp,percent,above70,,,Lg10WF
310,De Efteling was vroeger het enige grote attractiepark in Nederland; nu zijn er ook veel andere pretparken.,,,,,,,,,,,
311,In februari vieren mensen in het zuiden van het land Carnaval; in het noorden gaan veel mensen in die tijd op skivakantie.,,,,,,,,,,,
312,"Zwitserland is tegenwoordig een van de duurste landen in Europa om op vakantie te gaan, omdat ze erg rijk zijn.",,,,,,,,,,,
313,"Japan gaat een strategische uitkijkpost bouwen op een atol in de Grote Oceaan, om China beter in de gaten te houden.",,,,,,,,,,,
314,De leerlingen uit 4 havo vonden dat ze veel teveel huiswerk hadden gekregen voor Geschiedenis; ze hadden geen tijd meer voor andere vakken.,,,,,,,,,,,
315,NASA heeft vorige week de astronauten herdacht die zijn omgekomen tijdens ruimtemissies in de afgelopen 30 jaar.,,,,,,,,,,,
316,De amateurs uit Hardenberg kunnen niet voor een stunt zorgen in de kwartfinale van de beker,,,,,,,,,,,
317,De verdachte krijgt 3 jaar celstraf omdat hij een raketwerper en andere wapens thuis had liggen,,,,,,,,,,,
318,Uit onderzoek blijkt dat windmolens langs de kust geen negatieve invloed hebben op toerisme in de regio.,,,,,,,,,,,
319,Het kabinet wil kijken naar de mogelijkheden om de ov-chipkaart ook voor toeristen in te voeren.,,,,,,,,,,,
320,De belangrijkste uitvinding in de geschiedenis van de mensheid is het schrift.,,,,,,,,,,,
321,Als je meedoet aan dit programma moet je wel elke week op tijd aanwezig zijn bij alle lessen.,,,,,,,,,,,
322,De nieuwe directeur wil graag veel veranderen in de organisatie om de winstmarge te vergroten.,,,,,,,,,,,
323,Er staat elke dag wel weer een bericht in de krant over de uitbraak van het zika-virus in Zuid-Amerika.,,,,,,,,,,,
324,Hulpverleners in Colombia hebben dagenlang gewerkt om de mijnwerkers die opgesloten zaten in de ingestorte mijn te redden.,,,,,,,,,,,
325,"Het aantal leerplichtige kinderen dat voor korte of langere tijd niet naar school ging, is vorig schooljaar afgenomen.",,,,,,,,,,,
326,"Melkveehouders die hun koeien in de weide brengen voordat het eerste gras gemaaid wordt, kunnen dit jaar maximaal 750 euro subsidie krijgen.",,,,,,,,,,,
327,Een Zuid-Koreaanse vrouw vangt al 26 jaar ongeveer tweehonderd honden op in haar eigen huis.,,,,,,,,,,,
328,"Het is goed om je documenten op te slaan voor je gaat lunchen, want als de computer uitvalt, wil je zeker zijn dat je niks kwijtraakt.",,,,,,,,,,,
329,"Als je online incheckt en je instapkaart thuis print, hoef je op het vliegveld niet zo lang meer te wachten.",,,,,,,,,,,
330,"Het meest favoriete speelgoed van kinderen in de jaren '90 was lego, maar tegenwoordig spelen ze liever met een iPad.",,,,,,,,,,,
331,Maartje heeft van haar oma geleerd hoe ze moet breien; nu kan ze zelf ook mooie sjaals maken.,,,,,,,,,,,
